PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed
10,2026/7/4,3,4,前田歩,Right,德丸,Left,1,3,0,Fastball,BallCalled,Undefined,
11,2026/7/4,4,1,前田歩,Right,大越,Right,1,0,0,Fastball,InPlay,Double,
12,2026/7/4,5,1,前田歩,Right,中村俊,Left,1,0,0,Slider,InPlay,Out,
13,2026/7/4,6,1,前田歩,Right,永田,Right,2,0,0,Fastball,BallCalled,,
14,2026/7/4,6,2,前田歩,Right,永田,Right,2,1,0,Slider,BallCalled,,
15,2026/7/4,6,3,前田歩,Right,永田,Right,2,2,0,Slider,InPlay,Single,
16,2026/7/4,7,1,前田歩,Right,大平,Left,2,0,0,Fastball,BallCalled,,
17,2026/7/4,7,2,前田歩,Right,大平,Left,2,1,0,Fastball,StrikeCalled,,
18,2026/7/4,7,3,前田歩,Right,大平,Left,2,1,1,Slider,InPlay,Single,
19,2026/7/4,8,1,前田歩,Right,大内,Left,2,0,0,Slider,BallCalled,,
20,2026/7/4,8,2,前田歩,Right,大内,Left,2,1,0,Fastball,InPlay,Out,
1,2026/7/4,1,1,田中柊,Right,阿部,Left,0,0,0,Fastball,InPlay,Out,
2,2026/7/4,2,1,田中柊,Right,川尻,Right,1,0,0,Cutter,BallCalled,,
3,2026/7/4,2,2,田中柊,Right,川尻,Right,1,1,0,Fastball,FoulBallFieldable,,
4,2026/7/4,2,3,田中柊,Right,川尻,Right,1,1,1,Cutter,FoulBallFieldable,,
5,2026/7/4,2,4,田中柊,Right,川尻,Right,1,1,2,Cutter,BallCalled,,
6,2026/7/4,2,5,田中柊,Right,川尻,Right,1,2,2,Cutter,BallCalled,,
7,2026/7/4,2,6,田中柊,Right,川尻,Right,1,3,2,Fastball,BallCalled,Undefined,
8,2026/7/4,3,1,田中柊,Right,霜,Right,1,0,0,TwoSeamFastball,BallCalled,,
9,2026/7/4,3,2,田中柊,Right,霜,Right,1,1,0,Cutter,BallCalled,,
10,2026/7/4,3,3,田中柊,Right,霜,Right,1,2,0,TwoSeamFastball,FoulBallFieldable,,
11,2026/7/4,3,4,田中柊,Right,霜,Right,1,2,1,Fastball,InPlay,Out,
12,2026/7/4,4,1,田中柊,Right,寺尾,Right,2,0,0,Cutter,FoulBallFieldable,,
13,2026/7/4,4,2,田中柊,Right,寺尾,Right,2,0,1,Cutter,FoulBallFieldable,,
14,2026/7/4,4,3,田中柊,Right,寺尾,Right,2,0,2,Cutter,InPlay,Out,
1,2026/7/4,1,1,前田歩,Right,井櫻,Left,0,0,0,Slider,BallCalled,,
2,2026/7/4,1,2,前田歩,Right,井櫻,Left,0,1,0,Fastball,StrikeCalled,,
3,2026/7/4,1,3,前田歩,Right,井櫻,Left,0,1,1,Fastball,FoulBallFieldable,,
4,2026/7/4,1,4,前田歩,Right,井櫻,Left,0,1,2,Fastball,FoulBallFieldable,,
5,2026/7/4,1,5,前田歩,Right,井櫻,Left,0,1,2,Slider,BallCalled,,
6,2026/7/4,1,6,前田歩,Right,井櫻,Left,0,2,2,Fastball,FoulBallFieldable,,
7,2026/7/4,1,7,前田歩,Right,井櫻,Left,0,2,2,Fastball,InPlay,Single,
8,2026/7/4,2,1,前田歩,Right,山根,Right,0,0,0,Slider,InPlay,Sacrifice,
9,2026/7/4,3,1,前田歩,Right,岡西,Left,1,0,0,ChangeUp,InPlay,Single,
10,2026/7/4,4,1,前田歩,Right,德丸,Left,1,0,0,Cutter,FoulBallFieldable,,
11,2026/7/4,4,2,前田歩,Right,德丸,Left,1,0,1,ChangeUp,StrikeSwinging,,
12,2026/7/4,4,3,前田歩,Right,德丸,Left,1,0,2,ChangeUp,FoulBallFieldable,,
13,2026/7/4,4,4,前田歩,Right,德丸,Left,1,0,2,Fastball,BallCalled,,
14,2026/7/4,4,5,前田歩,Right,德丸,Left,1,1,2,ChangeUp,InPlay,Double,
15,2026/7/4,5,1,前田歩,Right,大越,Right,1,0,0,Slider,InPlay,Sacrifice,
16,2026/7/4,6,1,前田歩,Right,中村俊,Left,2,0,0,ChangeUp,BallCalled,,
17,2026/7/4,6,2,前田歩,Right,中村俊,Left,2,1,0,Fastball,StrikeCalled,,
18,2026/7/4,6,3,前田歩,Right,中村俊,Left,2,1,1,Slider,BallCalled,,
19,2026/7/4,6,4,前田歩,Right,中村俊,Left,2,2,1,Fastball,FoulBallFieldable,,
