PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
13,2026/7/19,4,2,千葉,Left,中村吏,Right,2,1,0,,StrikeCalled,127,,,,
14,2026/7/19,4,3,千葉,Left,中村吏,Right,2,1,1,Curveball,BallCalled,109,,,,
15,2026/7/19,4,4,千葉,Left,中村吏,Right,2,2,1,,InPlay,128,Out,FlyBall,,
1,2026/7/19,1,1,田中,Right,古田,Right,0,0,0,,InPlay,131,Out,FlyBall,,ここ
2,2026/7/19,2,1,田中,Right,山元,Right,1,0,0,,BallCalled,,,,,
3,2026/7/19,2,2,田中,Right,山元,Right,1,1,0,,BallCalled,130,,,,
4,2026/7/19,2,3,田中,Right,山元,Right,1,2,0,ChangeUp,BallCalled,126,,,,
5,2026/7/19,2,4,田中,Right,山元,Right,1,3,0,Fastball,StrikeCalled,134,,,,
6,2026/7/19,2,5,田中,Right,山元,Right,1,3,1,Slider,InPlay,125,Out,GroundBall,,
7,2026/7/19,3,1,田中,Right,小松騎,Right,2,0,0,Curveball,BallCalled,101,,,,
8,2026/7/19,3,2,田中,Right,小松騎,Right,2,1,0,Curveball,BallCalled,90,,,,
9,2026/7/19,3,3,田中,Right,小松騎,Right,2,2,0,,FoulBallFieldable,,,,,
10,2026/7/19,3,4,田中,Right,小松騎,Right,2,2,1,ChangeUp,StrikeCalled,123,,,,
11,2026/7/19,3,5,田中,Right,小松騎,Right,2,2,2,Slider,FoulBallFieldable,116,,,,
12,2026/7/19,3,6,田中,Right,小松騎,Right,2,2,2,Fastball,FoulBallFieldable,131,,,,
13,2026/7/19,3,7,田中,Right,小松騎,Right,2,2,2,Curveball,FoulBallFieldable,97,,,,
14,2026/7/19,3,8,田中,Right,小松騎,Right,2,2,2,Fastball,InPlay,141,Single,FlyBall,,
15,2026/7/19,4,1,田中,Right,西谷,Left,2,0,0,Fastball,BallCalled,136,,,,
16,2026/7/19,4,2,田中,Right,西谷,Left,2,1,0,,BallCalled,132,,,,
17,2026/7/19,4,3,田中,Right,西谷,Left,2,2,0,ChangeUp,BallCalled,120,,,,
18,2026/7/19,4,4,田中,Right,西谷,Left,2,3,0,Fastball,BallCalled,131,Walk,,,
19,2026/7/19,5,1,田中,Right,荘川,Left,2,0,0,Fastball,BallCalled,135,,,,
20,2026/7/19,5,2,田中,Right,荘川,Left,2,1,0,,InPlay,134,Double,LineDrive,,
21,2026/7/19,6,1,田中,Right,江﨑,Left,2,0,0,ChangeUp,BallCalled,122,,,,
22,2026/7/19,6,2,田中,Right,江﨑,Left,2,1,0,Fastball,InPlay,134,Out,LineDrive,,
1,2026/7/19,1,1,千葉,Left,大平,Right,0,0,0,,StrikeCalled,,,,,
2,2026/7/19,1,2,千葉,Left,大平,Right,0,0,1,,FoulBallFieldable,106,,,,
3,2026/7/19,1,3,千葉,Left,大平,Right,0,0,2,Cutter,InPlay,131,Single,GroundBall,,
4,2026/7/19,2,1,千葉,Left,片岡,Left,0,0,0,Curveball,BallCalled,104,,,,
5,2026/7/19,2,2,千葉,Left,片岡,Left,0,1,0,,FoulBallFieldable,124,,,,
6,2026/7/19,2,3,千葉,Left,片岡,Left,0,1,1,Curveball,FoulBallFieldable,105,,,,
7,2026/7/19,2,4,千葉,Left,片岡,Left,0,1,2,Curveball,BallCalled,105,,,,
8,2026/7/19,2,5,千葉,Left,片岡,Left,0,2,2,,BallCalled,114,,,,
9,2026/7/19,2,6,千葉,Left,片岡,Left,0,3,2,Slider,StrikeSwinging,111,Out,,,
10,2026/7/19,3,1,千葉,Left,渡邊康,Right,1,0,0,Curveball,BallCalled,106,,,,
11,2026/7/19,3,2,千葉,Left,渡邊康,Right,1,1,0,Slider,BallCalled,-,,,,
12,2026/7/19,3,3,千葉,Left,渡邊康,Right,1,2,0,Slider,InPlay,127,Out,GroundBall,,
13,2026/7/19,4,1,千葉,Left,茨木,Left,2,0,0,Curveball,BallCalled,107,,,,
14,2026/7/19,4,2,千葉,Left,茨木,Left,2,1,0,Curveball,BallCalled,104,,,,
15,2026/7/19,4,3,千葉,Left,茨木,Left,2,2,0,,BallCalled,121,,,,
16,2026/7/19,4,4,千葉,Left,茨木,Left,2,3,0,,StrikeCalled,128,,,,
17,2026/7/19,4,5,千葉,Left,茨木,Left,2,3,1,ChangeUp,BallCalled,-,,,,
