PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
4,2026/7/11,2,2,岡村,Right,渡邊康,Right,2,0,1,Curveball,BallCalled,107,,
5,2026/7/11,2,3,岡村,Right,渡邊康,Right,2,1,1,Cutter,FoulBallFieldable,,,
6,2026/7/11,2,4,岡村,Right,渡邊康,Right,2,1,2,ChangeUp,BallCalled,115,,
7,2026/7/11,2,5,岡村,Right,渡邊康,Right,2,2,2,Cutter,InPlay,119,Single,GroundBall
8,2026/7/11,3,1,岡村,Right,箭原,Left,2,0,0,Fastball,BallCalled,134,,
9,2026/7/11,3,2,岡村,Right,箭原,Left,2,1,0,Fastball,StrikeCalled,134,,
10,2026/7/11,3,3,岡村,Right,箭原,Left,2,1,1,Fastball,BallCalled,134,,
11,2026/7/11,3,4,岡村,Right,箭原,Left,2,2,1,Cutter,InPlay,124,Out,LineDrive
12,2026/7/11,1,1,岡村,Right,井櫻,Left,0,0,0,Curveball,BallCalled,,,
13,2026/7/11,1,2,岡村,Right,井櫻,Left,0,1,0,Curveball,StrikeCalled,108,,
14,2026/7/11,1,3,岡村,Right,井櫻,Left,0,1,1,Fastball,BallCalled,134,,
15,2026/7/11,1,4,岡村,Right,井櫻,Left,0,2,1,Cutter,StrikeCalled,122,,
16,2026/7/11,1,5,岡村,Right,井櫻,Left,0,2,2,Curveball,FoulBallFieldable,108,,
17,2026/7/11,1,6,岡村,Right,井櫻,Left,0,2,2,Fastball,StrikeSwinging,136,Strikeout,
1,2026/7/11,1,1,安田,Right,山根,Right,0,0,0,Curveball,FoulBallFieldable,107,,
2,2026/7/11,1,2,安田,Right,山根,Right,0,0,1,ChangeUp,StrikeCalled,99,,
3,2026/7/11,1,3,安田,Right,山根,Right,0,0,2,Fastball,InPlay,131,Out,GroundBall
4,2026/7/11,2,1,安田,Right,川尻,Right,1,0,0,ChangeUp,BallCalled,,,
5,2026/7/11,2,2,安田,Right,川尻,Right,1,1,0,Fastball,StrikeCalled,,,
6,2026/7/11,2,3,安田,Right,川尻,Right,1,1,1,Curveball,BallCalled,,,
7,2026/7/11,2,4,安田,Right,川尻,Right,1,2,1,TwoSeamFastball,BallCalled,118,,
8,2026/7/11,2,5,安田,Right,川尻,Right,1,3,1,ChangeUp,BallCalled,111,Walk,
9,2026/7/11,3,1,安田,Right,寺尾,Right,1,0,0,TwoSeamFastball,BallCalled,,,
10,2026/7/11,3,2,安田,Right,寺尾,Right,1,1,0,ChangeUp,FoulBallFieldable,111,,
11,2026/7/11,3,3,安田,Right,寺尾,Right,1,1,1,Fastball,BallCalled,,,
12,2026/7/11,3,4,安田,Right,寺尾,Right,1,2,1,Fastball,BallCalled,127,,
13,2026/7/11,3,5,安田,Right,寺尾,Right,1,3,1,TwoSeamFastball,BallCalled,,Walk,
14,2026/7/11,4,1,安田,Right,大越,Right,1,0,0,Fastball,BallCalled,,,
15,2026/7/11,4,2,安田,Right,大越,Right,1,1,0,ChangeUp,StrikeCalled,111,,
16,2026/7/11,4,3,安田,Right,大越,Right,1,1,1,TwoSeamFastball,FoulBallFieldable,117,,
17,2026/7/11,4,4,安田,Right,大越,Right,1,1,2,ChangeUp,BallCalled,105,,
18,2026/7/11,4,5,安田,Right,大越,Right,1,2,2,TwoSeamFastball,InPlay,113,Out,
19,2026/7/11,5,1,安田,Right,三戸,Left,2,0,0,Fastball,StrikeCalled,132,,
20,2026/7/11,5,2,安田,Right,三戸,Left,2,0,1,TwoSeamFastball,InPlay,121,Triple,
21,2026/7/11,6,1,安田,Right,永田,Right,2,0,0,Fastball,InPlay,,Sacrifice,
1,2026/7/11,1,1,岡村,Right,吉田壮,Left,0,0,0,Curveball,StrikeCalled,105,,
2,2026/7/11,1,2,岡村,Right,吉田壮,Left,0,0,1,ChangeUp,BallCalled,121,,
3,2026/7/11,1,3,岡村,Right,吉田壮,Left,0,1,1,Curveball,InPlay,108,Out,FlyBall
4,2026/7/11,2,1,岡村,Right,尾形,Left,1,0,0,Cutter,BallCalled,124,,
5,2026/7/11,2,2,岡村,Right,尾形,Left,1,1,0,Cutter,BallCalled,,,
6,2026/7/11,2,3,岡村,Right,尾形,Left,1,2,0,Cutter,BallCalled,123,,
7,2026/7/11,2,4,岡村,Right,尾形,Left,1,3,0,Fastball,StrikeSwinging,,,
8,2026/7/11,2,5,岡村,Right,尾形,Left,1,3,1,Curveball,InPlay,109,Single,LineDrive
9,2026/7/11,3,1,岡村,Right,大平,Right,1,0,0,Fastball,StrikeCalled,127,,
10,2026/7/11,3,2,岡村,Right,大平,Right,1,0,1,ChangeUp,FoulBallFieldable,118,,
11,2026/7/11,3,3,岡村,Right,大平,Right,1,0,2,Fastball,BallCalled,,,
12,2026/7/11,3,4,岡村,Right,大平,Right,1,1,2,Cutter,InPlay,,Out,FlyBall
13,2026/7/11,4,1,岡村,Right,髙橋海,Right,2,0,0,Cutter,BallCalled,,,
14,2026/7/11,4,2,岡村,Right,髙橋海,Right,2,1,0,Cutter,BallCalled,,,
15,2026/7/11,4,3,岡村,Right,髙橋海,Right,2,2,0,Fastball,StrikeCalled,,,
16,2026/7/11,4,4,岡村,Right,髙橋海,Right,2,2,1,Fastball,BallCalled,128,,
17,2026/7/11,4,5,岡村,Right,髙橋海,Right,2,3,1,Cutter,FoulBallFieldable,,,
18,2026/7/11,4,6,岡村,Right,髙橋海,Right,2,3,2,Cutter,InPlay,,Double,LineDrive
19,2026/7/11,5,1,岡村,Right,中村俊,Left,2,0,0,Cutter,BallCalled,121,,
20,2026/7/11,5,2,岡村,Right,中村俊,Left,2,1,0,ChangeUp,BallCalled,124,,
21,2026/7/11,5,3,岡村,Right,中村俊,Left,2,2,0,Cutter,InPlay,,Double,LineDrive
1,2026/7/11,1,1,松本宗,Right,片岡,Left,2,0,0,Fastball,FoulBallFieldable,139,,
2,2026/7/11,1,2,松本宗,Right,片岡,Left,2,0,1,Fastball,BallCalled,138,,
3,2026/7/11,1,3,松本宗,Right,片岡,Left,2,1,1,Fastball,BallCalled,,,
4,2026/7/11,1,4,松本宗,Right,片岡,Left,2,2,1,Splitter,InPlay,122,Out,FlyBall
