PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
8,2026/8/2,2,4,足達,Right,髙橋海,Right,1,2,1,Cutter,BallCalled,118,,
9,2026/8/2,2,5,足達,Right,髙橋海,Right,1,3,1,Fastball,StrikeSwinging,126,,
10,2026/8/2,2,6,足達,Right,髙橋海,Right,1,3,2,Fastball,BallCalled,128,Walk,
11,2026/8/2,3,1,足達,Right,小松騎,Right,1,0,0,Slider,BallCalled,103,,
12,2026/8/2,3,2,足達,Right,小松騎,Right,1,1,0,Fastball,FoulBallFieldable,,,
13,2026/8/2,3,3,足達,Right,小松騎,Right,1,1,1,Cutter,BallCalled,112,,
14,2026/8/2,3,4,足達,Right,小松騎,Right,1,2,1,Fastball,StrikeCalled,126,,
15,2026/8/2,3,5,足達,Right,小松騎,Right,1,2,2,Cutter,InPlay,,Single,GroundBall
16,2026/8/2,4,1,足達,Right,寺尾,Right,1,0,0,Fastball,BallCalled,,,
17,2026/8/2,4,2,足達,Right,寺尾,Right,1,1,0,Fastball,InPlay,121,Out,FlyBall
18,2026/8/2,5,1,足達,Right,中村吏,Right,2,0,0,Slider,StrikeCalled,,,
19,2026/8/2,5,2,足達,Right,中村吏,Right,2,0,1,Cutter,InPlay,113,Out,FlyBall
1,2026/8/2,1,1,中村心,Left,髙橋隆,Left,0,0,0,Fastball,StrikeSwinging,140,,
2,2026/8/2,1,2,中村心,Left,髙橋隆,Left,0,0,1,Fastball,FoulBallFieldable,,,
3,2026/8/2,1,3,中村心,Left,髙橋隆,Left,0,0,2,Fastball,BallCalled,141,,
4,2026/8/2,1,4,中村心,Left,髙橋隆,Left,0,1,2,Fastball,StrikeSwinging,,Out,
5,2026/8/2,2,1,中村心,Left,永田,Right,1,0,0,Slider,BallCalled,,,
6,2026/8/2,2,2,中村心,Left,永田,Right,1,1,0,Fastball,BallCalled,142,,
7,2026/8/2,2,3,中村心,Left,永田,Right,1,2,0,Fastball,StrikeSwinging,,,
8,2026/8/2,2,4,中村心,Left,永田,Right,1,2,1,Slider,BallCalled,118,,
9,2026/8/2,2,5,中村心,Left,永田,Right,1,3,1,Cutter,InPlay,128,Single,GroundBall
10,2026/8/2,3,1,中村心,Left,津田,Left,1,0,0,Cutter,BallCalled,,,
11,2026/8/2,3,2,中村心,Left,津田,Left,1,1,0,Cutter,InPlay,125,Single,LineDrive
12,2026/8/2,4,1,中村心,Left,岩﨑遼,Right,1,0,0,Fastball,StrikeCalled,,,
13,2026/8/2,4,2,中村心,Left,岩﨑遼,Right,1,0,1,Fastball,StrikeSwinging,142,,
14,2026/8/2,4,3,中村心,Left,岩﨑遼,Right,1,0,2,Fastball,FoulBallFieldable,143,,
15,2026/8/2,4,4,中村心,Left,岩﨑遼,Right,1,0,2,Cutter,FoulBallFieldable,,,
16,2026/8/2,4,5,中村心,Left,岩﨑遼,Right,1,0,2,Fastball,FoulBallFieldable,137,,
17,2026/8/2,4,6,中村心,Left,岩﨑遼,Right,1,0,2,Fastball,InPlay,,Single,FlyBall
18,2026/8/2,5,1,中村心,Left,岡西,Left,1,0,0,Fastball,StrikeSwinging,137,,
19,2026/8/2,5,2,中村心,Left,岡西,Left,1,0,1,Cutter,FoulBallFieldable,,,
20,2026/8/2,5,3,中村心,Left,岡西,Left,1,0,2,Fastball,InPlay,133,Out,Popup
21,2026/8/2,6,1,中村心,Left,大平,Right,2,0,0,Fastball,BallCalled,,,
22,2026/8/2,6,2,中村心,Left,大平,Right,2,1,0,Fastball,BallCalled,,,
23,2026/8/2,6,3,中村心,Left,大平,Right,2,2,0,Fastball,StrikeSwinging,,,
24,2026/8/2,6,4,中村心,Left,大平,Right,2,2,1,Fastball,InPlay,134,Out,FlyBall
1,2026/8/2,1,1,足達,Right,石松,Left,0,0,0,Slider,BallCalled,103,,
2,2026/8/2,1,2,足達,Right,石松,Left,0,1,0,Slider,InPlay,,Out,FlyBall
3,2026/8/2,2,1,足達,Right,小室,Right,1,0,0,Fastball,StrikeCalled,125,,
4,2026/8/2,2,2,足達,Right,小室,Right,1,0,1,Fastball,BallCalled,,,
5,2026/8/2,2,3,足達,Right,小室,Right,1,1,1,Slider,BallCalled,99,HitByPitch,
6,2026/8/2,3,1,足達,Right,箭原,Left,1,0,0,Cutter,InPlay,114,Out,GroundBall
