PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
51,2026/9/5,2,4,髙橋煌,Right,4,Right,1,1,2,Fastball,FoulBallFieldable,,,,
52,2026/9/5,2,5,髙橋煌,Right,4,Right,1,1,2,Fastball,BallCalled,146,,,
53,2026/9/5,2,6,髙橋煌,Right,4,Right,1,2,2,OneSeam,FoulBallFieldable,137,,,
54,2026/9/5,2,7,髙橋煌,Right,4,Right,1,2,2,Fastball,BallCalled,143,,,
55,2026/9/5,2,8,髙橋煌,Right,4,Right,1,3,2,OneSeam,InPlay,130,Out,GroundBall,
56,2026/9/5,3,1,髙橋煌,Right,5,Right,2,0,0,Slider,InPlay,126,HomeRun,FlyBall,
57,2026/9/5,4,1,髙橋煌,Right,6,Left,2,0,0,Fastball,BallCalled,144,,,
58,2026/9/5,4,2,髙橋煌,Right,6,Left,2,1,0,Fastball,StrikeCalled,145,,,
59,2026/9/5,4,3,髙橋煌,Right,6,Left,2,1,1,Fastball,BallCalled,144,,,
60,2026/9/5,4,4,髙橋煌,Right,6,Left,2,2,1,OneSeam,StrikeSwinging,137,,,
61,2026/9/5,4,5,髙橋煌,Right,6,Left,2,2,2,Fastball,BallCalled,145,,,
62,2026/9/5,4,6,髙橋煌,Right,6,Left,2,3,2,OneSeam,FoulBallFieldable,137,,,
63,2026/9/5,4,7,髙橋煌,Right,6,Left,2,3,2,Fastball,FoulBallFieldable,145,,,
64,2026/9/5,4,8,髙橋煌,Right,6,Left,2,3,2,Fastball,FoulBallFieldable,146,,,
65,2026/9/5,4,9,髙橋煌,Right,6,Left,2,3,2,Fastball,StrikeSwinging,147,Strikeout,,
66,2026/9/5,1,1,髙橋煌,Right,7,Left,0,0,0,Cutter,BallCalled,132,,,
67,2026/9/5,1,2,髙橋煌,Right,7,Left,0,1,0,OneSeam,StrikeSwinging,135,,,
68,2026/9/5,1,3,髙橋煌,Right,7,Left,0,1,1,Curveball,FoulBallFieldable,115,,,
69,2026/9/5,1,4,髙橋煌,Right,7,Left,0,1,2,Fastball,InPlay,145,Single,GroundBall,
70,2026/9/5,2,1,髙橋煌,Right,8,Right,0,0,0,Cutter,FoulBallFieldable,133,,,
71,2026/9/5,2,2,髙橋煌,Right,8,Right,0,0,1,Fastball,FoulBallFieldable,144,,,
72,2026/9/5,2,3,髙橋煌,Right,8,Right,0,0,2,Fastball,InPlay,135,Sacrifice,Bunt,
73,2026/9/5,3,1,髙橋煌,Right,9,Left,1,0,0,Fastball,FoulBallFieldable,143,,,
74,2026/9/5,3,2,髙橋煌,Right,9,Left,1,0,1,Fastball,FoulBallFieldable,136,,,
75,2026/9/5,3,3,髙橋煌,Right,9,Left,1,0,2,Fastball,InPlay,142,Out,FlyBall,
1,2026/9/5,1,1,松本宗,Right,1,Right,2,0,0,ChangeUp,StrikeSwinging,,,,
2,2026/9/5,1,2,松本宗,Right,1,Right,2,0,1,ChangeUp,StrikeCalled,119,,,
3,2026/9/5,1,3,松本宗,Right,1,Right,2,0,2,Fastball,BallCalled,,,,
4,2026/9/5,1,4,松本宗,Right,1,Right,2,1,2,Cutter,BallCalled,131,,,
5,2026/9/5,1,5,松本宗,Right,1,Right,2,2,2,Cutter,BallCalled,123,HitByPitch,,
6,2026/9/5,2,1,松本宗,Right,2,Left,2,0,0,ChangeUp,FoulBallFieldable,122,,,
7,2026/9/5,2,2,松本宗,Right,2,Left,2,0,1,ChangeUp,BallCalled,125,,,
8,2026/9/5,2,3,松本宗,Right,2,Left,2,1,1,Fastball,BallCalled,141,,,
9,2026/9/5,2,4,松本宗,Right,2,Left,2,2,1,Fastball,BallCalled,141,,,
10,2026/9/5,2,5,松本宗,Right,2,Left,2,3,1,Cutter,BallCalled,130,Walk,,
11,2026/9/5,3,1,松本宗,Right,3,Left,2,0,0,ChangeUp,StrikeSwinging,127,,,
12,2026/9/5,3,2,松本宗,Right,3,Left,2,0,1,ChangeUp,BallCalled,124,,,
13,2026/9/5,3,3,松本宗,Right,3,Left,2,1,1,ChangeUp,InPlay,125,Out,GroundBall,
14,2026/9/5,1,1,松本宗,Right,4,Right,0,0,0,Curveball,BallCalled,,,,
15,2026/9/5,1,2,松本宗,Right,4,Right,0,1,0,Fastball,InPlay,,Single,LineDrive,
16,2026/9/5,2,1,松本宗,Right,5,Right,0,0,0,Fastball,StrikeCalled,138,,,
17,2026/9/5,2,2,松本宗,Right,5,Right,0,0,1,Cutter,BallCalled,130,,,
18,2026/9/5,2,3,松本宗,Right,5,Right,0,1,1,ChangeUp,BallCalled,124,,,
19,2026/9/5,2,4,松本宗,Right,5,Right,0,2,1,Fastball,InPlay,139,Out,FlyBall,
20,2026/9/5,3,1,松本宗,Right,6,Left,1,0,0,Fastball,InPlay,,Out,FlyBall,
21,2026/9/5,4,1,松本宗,Right,7,Left,2,0,0,ChangeUp,StrikeCalled,127,,,
22,2026/9/5,4,2,松本宗,Right,7,Left,2,0,1,Fastball,BallCalled,142,,,
23,2026/9/5,4,3,松本宗,Right,7,Left,2,1,1,Fastball,StrikeSwinging,141,,,
24,2026/9/5,4,4,松本宗,Right,7,Left,2,1,2,ChangeUp,FoulBallFieldable,127,,,
25,2026/9/5,4,5,松本宗,Right,7,Left,2,1,2,Fastball,BallCalled,139,,,
1,2026/9/5,1,6,山田翔,Left,7,Left,0,0,0,Slider,InPlay,116,Out,Bunt,
2,2026/9/5,2,1,山田翔,Left,8,Right,1,0,0,Fastball,BallCalled,131,,,
3,2026/9/5,2,2,山田翔,Left,8,Right,1,1,0,Fastball,BallCalled,131,,,
4,2026/9/5,2,3,山田翔,Left,8,Right,1,2,0,Fastball,BallCalled,131,,,
5,2026/9/5,2,4,山田翔,Left,8,Right,1,3,0,Fastball,InPlay,131,Triple,LineDrive,
6,2026/9/5,3,1,山田翔,Left,9,Right,1,0,0,Slider,BallCalled,120,,,
7,2026/9/5,3,2,山田翔,Left,9,Right,1,1,0,Fastball,InPlay,131,Single,FlyBall,
8,2026/9/5,4,1,山田翔,Left,1,Right,1,0,0,Fastball,BallCalled,131,,,
9,2026/9/5,4,2,山田翔,Left,1,Right,1,1,0,Fastball,InPlay,131,Out,FlyBall,
